date,district_id,10_day_rainfall_mm,long_term_avg_mm,1 month_aggregation_mm,1 month_aggregation_long_term_avg_mm,3 month_aggregation_mm,3 month_aggregation_mm,anomaly,1 month_anomaly,3 month_anomaly
2026-03-21,BD2015,19.05298,28.38543,51,49.81214,66.31788,66.31788,72.04634,102.167145,98.13194
2026-03-21,BD2030,25.866667,32.815556,68.833336,55.873333,82.26667,82.26667,81.62426,121.290115,106.143745
2026-03-21,BD2075,21.37647,33.29804,58.835297,56.611763,69.09412,69.09412,68.8716,103.60894,90.35436
2026-03-21,BD2051,22.772728,33.19394,65.68182,56.867424,75.47727,75.47727,72.71501,114.24724,96.83947
2026-03-21,BD1009,17.762712,26.050283,45.37288,43.79774,57.694916,57.694916,73.3092,103.22789,88.05046
2026-03-21,BD1006,24.4625,30.517916,68.7375,51.267498,81.675,81.675,82.951096,131.04813,107.96195
2026-03-21,BD1078,18.044945,25.440825,45.22472,43.453182,58.325844,58.325844,75.70407,103.65618,86.76465
2026-03-21,BD2013,40.423077,37.757694,98.19231,61.46154,107.88461,107.88461,106.23369,155.2662,131.62222
2026-03-21,BD3086,38.38095,38.52222,102.52381,63.17143,115.2619,115.2619,99.67541,157.72562,130.71608
2026-03-21,BD1004,15.470589,23.388235,43.31373,40.07647,58.92157,58.92157,72.109406,107.1817,89.67048
2026-03-21,BD1079,20.642857,25.318254,55.619045,44.214287,70.38095,70.38095,84.57893,123.173676,99.11611
2026-03-21,BD4087,31.641666,19.636667,60.65,32.710278,79.60834,79.60834,148.72818,174.09048,120.09038
2026-03-21,BD4047,29.48,23.143734,61.343998,38.52933,76.224,76.224,122.51395,152.41217,113.92759
2026-03-11,BD5532,54.425,6.5691667,60.95,14.915417,71.274994,71.274994,513.6498,331.15048,197.8706
2026-03-11,BD3033,58.1875,14.742708,73.828125,32.06875,84.75,84.75,320.05487,212.65385,157.30666
2026-03-11,BD3035,39.66,10.852667,51.22,25.144,63.6,63.6,281.71915,186.50478,130.89604
2026-03-11,BD6036,109.29214,20.720224,131.42697,45.2176,143.04495,143.04495,444.3668,271.67163,203.29048
2026-03-11,BD4041,46.10989,10.611355,58.395603,23.36923,72.07692,72.07692,327.3892,223.46606,139.82045
2026-03-11,BD1042,26.375,11.895833,39.541668,26.42639,51.625,51.625,185.69669,141.73332,110.47883
2026-03-11,BD4044,41.52239,8.509453,52.089554,20.28209,66.19403,66.19403,344.36914,225.81027,136.09389
2026-03-11,BD5038,35.771427,5.0057144,40.657143,11.818095,49.571426,49.571426,407.48145,271.4763,157.24908
2026-03-11,BD2046,51.960785,14.785294,70.5,33.042812,86.90196,86.90196,287.89456,198.46062,152.32948
2026-03-11,BD3048,70.86813,16.958975,89.15385,36.969963,100.43956,100.43956,345.49945,224.33627,164.82384
2026-03-11,BD5549,67.604935,8.1107,75.1358,17.839094,86.61728,86.61728,553.7839,350.87122,206.58264
2026-03-11,BD4050,32.32143,7.729762,39.964287,18.042856,53.14286,53.14286,293.18246,195.1333,115.311066
2026-03-11,BD5552,51.31818,5.6780305,56.88636,12.782576,67.61363,67.61363,527.4211,348.01685,202.4843
2026-03-11,BD3054,48.951218,12.947968,63.31707,29.527641,75.48781,75.48781,300.59793,197.86197,147.22723
2026-03-11,BD4055,43,9.027928,53.62162,21.48018,67.27027,67.27027,342.17456,221.37923,138.53009
2026-03-11,BD3056,48.22,11.900667,60.56,27.172667,71,71,314.89883,203.77545,140.62268
2026-03-11,BD6058,188.47873,29.775532,218.64894,63.114895,233.43617,233.43617,556.36456,328.3407,247.17584
2026-03-11,BD4057,33.25926,7.8950615,42.407406,18.030865,54.74074,54.74074,296.69696,205.84293,126.911285
2026-03-11,BD3059,61.9375,15.644792,78.4375,34.79375,89.34375,89.34375,324.23434,209.67488,158.89752
2026-03-11,BD5064,27.903225,5.5153227,33.370968,13.227957,43.70161,43.70161,312.9074,210.50613,128.78072
2026-03-11,BD4065,40.48649,9.942343,52.081085,23.11892,65.40541,65.40541,304.41336,202.99886,134.48865
2026-03-11,BD3067,60.52,15.073334,77.56,33.241333,86.44,86.44,326.4032,215.89206,161.59283
2026-03-11,BD3068,62.95238,16.242064,81.809525,35.26508,92.59524,92.59524,319.89536,215.59506,162.43314
2026-03-11,BD5069,26.041666,6.085185,31.888887,14.39213,42.23611,42.23611,280.02838,190.22606,114.56708
2026-03-11,BD5070,22.103449,5.052299,27.655174,12.633907,38.655174,38.655174,269.6244,185.184,115.1101
2026-03-11,BD5573,48.677967,5.920904,53.779663,13.00226,62.932205,62.932205,491.51578,326.5127,190.95413
2026-03-11,BD5076,38.73256,9.296512,47.813953,21.834496,61.95349,61.95349,305.8967,196.81366,124.07612
2026-03-11,BD5577,49.72,6.8186665,55.760002,14.85,65.56,65.56,462.9964,306.09573,189.34486
2026-03-11,BD3082,39.589745,10.223931,50.28205,23.707691,63.307693,63.307693,292.89246,192.56879,128.68736
2026-03-11,BD5081,29.529411,6.9658823,36.04706,15.827843,46.84706,46.84706,288.56552,197.07782,119.60702
2026-03-11,BD2084,34.02162,11.125766,48.432434,25.887386,63.23243,63.23243,241.98306,172.99112,133.02866
2026-03-11,BD5585,54.987953,6.45502,60.92771,14.338153,69.45783,69.45783,523.6826,340.9204,208.67334
2026-03-11,BD5088,40.965908,8.479546,50.431816,20.602652,66.25,66.25,341.00488,216.5081,137.08014
2026-03-11,BD6090,176.80597,26.299253,201.7388,53.248756,215.02985,215.02985,580.86365,354.92395,264.61087
2026-03-11,BD6091,216.19048,33.946827,245.10318,68.75211,261.7857,261.7857,567.9294,339.11322,242.5482
2026-03-11,BD3093,50.85124,10.627824,62.165287,24.337742,74.14876,74.14876,357.38336,228.93816,148.39626
2026-03-11,BD5594,46.89394,6.429798,52.57576,14.389899,61.060608,61.060608,454.02322,296.93686,174.84761
2026-03-11,BD4539,54.636364,8.318615,63.506493,19.14199,74.63637,74.63637,447.76703,283.7649,172.87851
2026-03-11,BD4561,65.18301,13.017647,79.424835,28.301308,91.888885,91.888885,389.5237,253.51808,171.77553
2026-03-11,BD4572,95.61386,15.849505,112.92079,33.243893,125.46535,125.46535,482.5719,308.33887,214.35658
2026-03-11,BD4589,77.395836,11.624306,89.16667,24.634722,100.25,100.25,495.63474,317.7579,209.77454
2026-03-11,BD1009,30.181818,12.432727,42.145454,26.97091,52.127274,52.127274,201.81474,147.46361,111.78975
2026-03-11,BD2022,6.5070424,4.4629107,12.802816,10.815493,24.267605,24.267605,121.60151,112.565674,95.96527
